COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,5162102649,5161100077,,179962,105847,5162102649,CĂLĂRAŞI,,,,GRADINITA PROG. NORMAL NR.1 GALBINASI,GRADINITA PROG NORMAL NR 1 GALBINASI,GĂLBINAŞI,,,
,5162102233,5161103573,,93085,93094,5162102233,CĂLĂRAŞI,,,,GRADINITA CU PROGRAM NORMAL NR.4 CIOCANESTI,GRADINITA CU PROGRAM NORMAL NR 4 CIOCANESTI,CIOCĂNEŞTI,,,
24146306,5161100787,,3711026,92587,92596,5161100787,CĂLĂRAŞI,,,35,"""GRADINITA CU PROGRAM PRELUNGIT """" BROTACEL"""" MODELU""",GRADINITA CU PROGRAM PRELUNGIT BROTACEL MODELU,MODELU,PRELUNGIREA CALARASI,,
,5162102916,5161101006,,93888,93913,5162102916,CĂLĂRAŞI,,,,GRADINITA PROG. NORMAL NR.1 RAZVANI,GRADINITA PROG NORMAL NR 1 RAZVANI,RĂZVANI,,,
,5142100379,5141100714,,92569,92578,5142100379,CĂLĂRAŞI,,,,"""CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SC. GIMNAZIALA ",,"NICOLAE TITULESCU"""" CALARASI""",CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SC GIMNAZIALA NICOLAE TITULESCU CALARASI,CĂLĂRAŞI,NICOLAE TITULESCU
,5162101666,5161101119,,92569,92578,5162101666,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.7 CALARASI,SCOALA GIMNAZIALA NR 7 CALARASI,CĂLĂRAŞI,,,
,5162101508,5161101024,,94125,94134,5162101508,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.1 NICOLAE BALCESCU,GRADINITA PROGRAM NORMAL NR 1 NICOLAE BALCESCU,NICOLAE BĂLCESCU,,,
24157259,5161103519,,1155814,92587,92596,5161103519,CĂLĂRAŞI,,,2,SCOALA GIMNAZIALA NR.2 MODELU,SCOALA GIMNAZIALA NR 2 MODELU,MODELU,AURORA,,
,5142100361,5141100714,,101458,101467,5142100361,CĂLĂRAŞI,,,,"""CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA GIMNAZIALA """"GHEORGHE MANU"""" BUDESTI""",CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA GIMNAZIALA GHEORGHE MANU BUDESTI,BUDEŞTI,,,
,5162101155,5161100629,,93931,93940,5162101155,CĂLĂRAŞI,,,,GRADINITA PROG. NORMAL NR.3 LUPSANU,GRADINITA PROG NORMAL NR 3 LUPSANU,LUPŞANU,,,
24120195,5161100995,,539386,94768,94777,5161100995,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.1 VLAD TEPES,SCOALA GIMNAZIALA NR 1 VLAD TEPES,VLAD ŢEPEŞ,,,
,5162102156,5161103501,,101804,101813,5162102156,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.2 CHIRNOGI,GRADINITA PROGRAM NORMAL NR 2 CHIRNOGI,CHIRNOGI,,,
,5162102337,5161100882,,93370,93414,5162102337,CĂLĂRAŞI,,,,GRADINITA PROG. NORMAL NR.3 INFRATIREA,GRADINITA PROG NORMAL NR 3 INFRATIREA,ÎNFRĂŢIREA,,,
,5162102468,5161100905,,102945,102954,5162102468,CĂLĂRAŞI,,,,GRADINITA PROG. NORMAL NR.3 CALNAU,GRADINITA PROG NORMAL NR 3 CALNAU,FRUMUŞANI,,,
,5162103225,5161100561,,105829,105865,5162103225,CĂLĂRAŞI,,,,SCOALA PRIMARA NR.1 POPESTI,SCOALA PRIMARA NR 1 POPESTI,POPEŞTI,,,
,5162102319,5161100882,,93370,93389,5162102319,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.2 DOR MARUNT GARA,SCOALA GIMNAZIALA NR 2 DOR MARUNT GARA,DOR MĂRUNT,,,
,5162101431,5161103451,,92569,92578,5162101431,CĂLĂRAŞI,,,,GRADINITA CU PROGRAM NORMAL NR.12 CALARASI,GRADINITA CU PROGRAM NORMAL NR 12 CALARASI,CĂLĂRAŞI,,,
,5162102432,5161100905,,102945,102963,5162102432,CĂLĂRAŞI,,,,GRADINITA PROG. NORMAL NR.2 ORASTI,GRADINITA PROG NORMAL NR 2 ORASTI,ORĂŞTI,,,
,5162103216,5161101069,,104751,104760,5162103216,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.1 RADOVANU,GRADINITA PROGRAM NORMAL NR 1 RADOVANU,RADOVANU,,,
,5162101942,5161103528,,93771,93806,5162101942,CĂLĂRAŞI,,,,"""GRADINITA PROGRAM NORMAL NR.3 """"DEGETICA"""" VISINI""",GRADINITA PROGRAM NORMAL NR 3 DEGETICA VISINI,VIŞINII,,,
,5162102296,5161101051,,100610,100629,5162102296,CĂLĂRAŞI,,,,GRADINITA PROG. NORMAL NR.2 OLTENITA,GRADINITA PROG NORMAL NR 2 OLTENITA,OLTENIŢA,,,
3797336,5161100891,,1155955,93888,93897,5161100891,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.1 LEHLIU-GARA,SCOALA GIMNAZIALA NR 1 LEHLIU GARA,LEHLIU-GARĂ,VIITOR,,
,5162103098,5161100864,,103032,103041,5162103098,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.1 GOSTILELE,SCOALA GIMNAZIALA NR 1 GOSTILELE,FUNDULEA,,,
24288220,5161100968,,538265,93325,93334,5161100968,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.1 DICHISENI,SCOALA GIMNAZIALA NR 1 DICHISENI,DICHISENI,,,
,5162103193,5161100656,,105455,105473,5162103193,CĂLĂRAŞI,,,,GRADINITA PROG. NORMAL NR.2 CALARETI,GRADINITA PROG NORMAL NR 2 CALARETI,CĂLĂREŢI,,,
23416401,5161103451,,361014,92569,92578,5161103451,CĂLĂRAŞI,,,,"""SCOALA GIMNAZIALA """"TUDOR VLADIMIRESCU"""" CALARASI""",SCOALA GIMNAZIALA TUDOR VLADIMIRESCU CALARASI,CĂLĂRAŞI,"""BELSUGULUI","NR.1""",
23982850,5161100597,,780210,100610,100629,5161100597,CĂLĂRAŞI,,,,GRADINITA CU PROGRAM PRELUNGIT NR.2 OLTENITA,GRADINITA CU PROGRAM PRELUNGIT NR 2 OLTENITA,OLTENIŢA,,,
23537500,5161103537,,539697,92569,92578,5161103537,CĂLĂRAŞI,,,,"""SCOALA GIMNAZIALA """"NICOLAE TITULESCU"""" CALARASI""",SCOALA GIMNAZIALA NICOLAE TITULESCU CALARASI,CĂLĂRAŞI,N.TITULESCU NR.2,,
,5162102355,5161100109,,104181,104216,5162102355,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.2 SULTANA,SCOALA GIMNAZIALA NR 2 SULTANA,SULTANA,,,
,5162102604,5161100941,,103568,103595,5162102604,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.2 COTOFANCA,GRADINITA PROGRAM NORMAL NR 2 COTOFANCA,COŢOFANCA,,,
,5162101951,5161103528,,93771,93799,5162101951,CĂLĂRAŞI,,,,"""GRADINITA PROGRAM NORMAL NR. 2 """"ALBA CA ZAPADA"""" POTCOAVA""",GRADINITA PROGRAM NORMAL NR 2 ALBA CA ZAPADA POTCOAVA,POTCOAVA,,,
,5162102206,5161103496,,94606,94615,5162102206,CĂLĂRAŞI,,,,GRADINITA PROG. NORMAL NR.1 ULMU,GRADINITA PROG NORMAL NR 1 ULMU,ULMU,,,
,5162103008,5161100787,,92587,92596,5162103008,CĂLĂRAŞI,,,,GRADINITA PROG. NORMAL NR.2 MODELU,GRADINITA PROG NORMAL NR 2 MODELU,MODELU,,,
,5162101725,5161100638,,102838,102883,5162101725,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.3 LUPTATORI,GRADINITA PROGRAM NORMAL NR 3 LUPTATORI,LUPTĂTORI,,,
,5162101544,5161100796,,105259,105286,5162101544,CĂLĂRAŞI,,,,GRADINITA PROG NORMAL NR.2 STANCEA,GRADINITA PROG NORMAL NR 2 STANCEA,STANCEA,,,
,5142100257,5141100714,,92569,92578,5142100257,CĂLĂRAŞI,,,,CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA INV PRESCOLAR GPN NR.7 CALARASI,CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA INV PRESCOLAR GPN NR 7 CALARASI,CĂLĂRAŞI,,,
,5142100275,5141100714,,100610,100629,5142100275,CĂLĂRAŞI,,,,CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA NR. 3+5 OLTENITA,CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA NR 3 5 OLTENITA,OLTENIŢA,,,
,5142100352,5141100714,,100610,100629,5142100352,CĂLĂRAŞI,,,,CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA - CABINET LOGOPEDIC OLTENITA,CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA  CABINET LOGOPEDIC OLTENITA,OLTENIŢA,,,
,5162103234,5161100561,,105829,105838,5162103234,CĂLĂRAŞI,,,,SCOALA PRIMARA NR.2 PROZANIC,SCOALA PRIMARA NR 2 PROZANIC,VASILAŢI,,,
,5142100171,5141100714,,92569,92578,5142100171,CĂLĂRAŞI,,,,CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA INVATAMANT PRESCOLAR GPP AMICII CALARASI,CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA INVATAMANT PRESCOLAR GPP AMICII CALARASI,CĂLĂRAŞI,,,
3797280,5151100488,,3711105,100610,100629,5151100488,CĂLĂRAŞI,,,,CLUBUL COPIILOR NR.1 OLTENITA,CLUBUL COPIILOR NR 1 OLTENITA,OLTENIŢA,Str. Argesului nr.6C,,
,5162103026,5161100032,,93664,93708,5162103026,CĂLĂRAŞI,,,,GRADINITA CU PROGRAM NORMAL NR.3 RASA,GRADINITA CU PROGRAM NORMAL NR 3 RASA,RASA,,,
24229509,5161100534,,539295,94651,94660,5161100534,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.1 UNIREA,SCOALA GIMNAZIALA NR 1 UNIREA,UNIREA,,,
,5162101707,5161100932,,92569,92578,5162101707,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.3 CALARASI,GRADINITA PROGRAM NORMAL NR 3 CALARASI,CĂLĂRAŞI,N.TITULESCU NR.4,,
,5162101232,5161103582,,92569,92578,5162101232,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.4 CALARASI,GRADINITA PROGRAM NORMAL NR 4 CALARASI,CĂLĂRAŞI,,,
,5162100778,5161100023,538409,93487,93496,5162100778,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.1 DRAGALINA,SCOALA GIMNAZIALA NR 1 DRAGALINA,DRAGALINA,,,
24018218,5161103528,,538631,93771,93780,5161103528,CĂLĂRAŞI,,,,"""SCOALA GIMNAZIALA """"GEORGE VALSAN"""" INDEPENDENTA""",SCOALA GIMNAZIALA GEORGE VALSAN INDEPENDENTA,INDEPENDENŢA,,,
23923110,5161103487,,564977,103764,103773,5161103487,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.1 ILEANA,SCOALA GIMNAZIALA NR 1 ILEANA,ILEANA,,,
,5162102414,5161100905,,102945,102981,5162102414,CĂLĂRAŞI,,,,SCOALA PRIMARA NR.5 PADURISU,SCOALA PRIMARA NR 5 PADURISU,PĂDURIŞU,,,
,5162102554,5161103501,,101804,101813,5162102554,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR. 3 CHIRNOGI,GRADINITA PROGRAM NORMAL NR 3 CHIRNOGI,CHIRNOGI,,,
,5162102477,5161100905,,102945,103005,5162102477,CĂLĂRAŞI,,,,GRADINITA PROG .NORMAL NR.6 POSTAVARI,GRADINITA PROG NORMAL NR 6 POSTAVARI,POSTĂVARI,,,
23852974,5161103573,,538033,93085,93094,5161103573,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.1 CIOCANESTI,SCOALA GIMNAZIALA NR 1 CIOCANESTI,CIOCĂNEŞTI,,,
,5162101571,5161100796,,105259,105277,5162101571,CĂLĂRAŞI,,,,GRADINITA CU PROGRAM NORMAL NR.3 CETATEA VECHE,GRADINITA CU PROGRAM NORMAL NR 3 CETATEA VECHE,CETATEA VECHE,,,
23416355,5161100611,,541731,92569,92578,5161100611,CĂLĂRAŞI,,,,"""GRADINITA CU PROGRAM PRELUNGIT """"VOINICEL"""" CALARASI""",GRADINITA CU PROGRAM PRELUNGIT VOINICEL CALARASI,CĂLĂRAŞI,,,
,5162101761,5161100638,,102838,102865,5162101761,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.2 DANESTI,GRADINITA PROGRAM NORMAL NR 2 DANESTI,DĂNEŞTI,,,
,5162102581,5161100941,,103568,103577,5162102581,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.1 GURBANESTI,GRADINITA PROGRAM NORMAL NR 1 GURBANESTI,GURBĂNEŞTI,,,
,5162102052,5161100525,,92961,92970,5162102052,CĂLĂRAŞI,,,,GRADINITA PROG. NORMAL NR.2 BORCEA,GRADINITA PROG NORMAL NR 2 BORCEA,BORCEA,,,
,5162102798,5161103487,,103764,103773,5162102798,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.2 ARTARI,SCOALA GIMNAZIALA NR 2 ARTARI,ILEANA,,,
,5162102907,5161100692,,93815,93824,5162102907,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.1 JEGALIA,GRADINITA PROGRAM NORMAL NR 1 JEGALIA,JEGĂLIA,,,
23901945,5161101069,,566250,104751,104760,5161101069,CĂLĂRAŞI,,,54,"""SCOALA GIMNAZIALA """"DIMITRIE ION GHICA"""" RADOVANU""",SCOALA GIMNAZIALA DIMITRIE ION GHICA RADOVANU,RADOVANU,Principala,,
23772786,5161100588,,538980,94223,94232,5161100588,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.1 PERISORU,SCOALA GIMNAZIALA NR 1 PERISORU,PERIŞORU,,,
,5162103591,5161100968,,93325,93361,5162103591,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.2 SATNOIENI,GRADINITA PROGRAM NORMAL NR 2 SATNOIENI,SATNOENI,,,
27004667,5161200749,,3747583,100610,100629,5161200749,CĂLĂRAŞI,,,,SCOALA POSTLICEALA F.E.G EDUCATION,SCOALA POSTLICEALA F E G EDUCATION,OLTENIŢA,,,
,5162101743,5161100638,,102838,102883,5162101743,CĂLĂRAŞI,,,,SCOALA PRIMARA NR. 1 LUPTATORI,SCOALA PRIMARA NR 1 LUPTATORI,LUPTĂTORI,,,
,5162102572,5161101042,,92569,92578,5162102572,CĂLĂRAŞI,,,98,GRADINITA PROG. NORMAL NR.5 CALARASI,GRADINITA PROG NORMAL NR 5 CALARASI,CĂLĂRAŞI,GRIVITA NR.98,,
3797352,5161103582,,1195216,92569,92578,5161103582,CĂLĂRAŞI,,,,"""GRADINITA CU PROGRAM PRELUNGIT """"STEP BY STEP"""" CALARASI""",GRADINITA CU PROGRAM PRELUNGIT STEP BY STEP CALARASI,CĂLĂRAŞI,,,
,5162101874,5161100855,,101458,101485,5162101874,CĂLĂRAŞI,,,,SCOALA PRIMARA NR. 2 BUCIUMENI,SCOALA PRIMARA NR 2 BUCIUMENI,BUCIUMENI,,,
,5142100248,5141100714,,93487,93496,5142100248,CĂLĂRAŞI,,,,CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA GIMNAZIALA NR.1 DRAGALINA,CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA GIMNAZIALA NR 1 DRAGALINA,DRAGALINA,,,
,5162101214,5161100891,,93888,93904,5162101214,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.2 BUZOIENI,GRADINITA PROGRAM NORMAL NR 2 BUZOIENI,BUZOENI,,,
,5142100447,5141100714,,100610,100629,5142100447,CĂLĂRAŞI,,,,"""CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA GIMNAZIALA """"SPIRU HARET"""" OLTENITA""",CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA SCOALA GIMNAZIALA SPIRU HARET OLTENITA,OLTENIŢA,,,
3797271,5161100932,,541511,92569,92578,5161100932,CĂLĂRAŞI,,,,"""GRADINITA CU PROGRAM PRELUNGIT """"AMICII"""" CALARASI""",GRADINITA CU PROGRAM PRELUNGIT AMICII CALARASI,CĂLĂRAŞI,GRADINITEI NR.1,,
,5162101268,5161100516,,105712,105721,5162101268,CĂLĂRAŞI,,,,GRADINITA PROG. NORMAL NR.1 VALEA ARGOVEI,GRADINITA PROG NORMAL NR 1 VALEA ARGOVEI,VALEA ARGOVEI,,,
,5162102685,5161100959,,105605,105614,5162102685,CĂLĂRAŞI,,,,GRADINITA PROG. NORMAL NR.3 ULMENI,GRADINITA PROG NORMAL NR 3 ULMENI,ULMENI,,,
23572915,5161100525,,537948,92961,92970,5161100525,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.2 BORCEA,SCOALA GIMNAZIALA NR 2 BORCEA,BORCEA,,,
,5162102079,5161103392,,101804,101813,5162102079,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.4 CHIRNOGI,GRADINITA PROGRAM NORMAL NR 4 CHIRNOGI,CHIRNOGI,,,
24082431,5161100032,,538540,93664,93673,5161100032,CĂLĂRAŞI,,,,"""LICEUL TEHNOLOGIC """"CONSTANTIN GEORGE CALINESCU"""" GRADISTEA""",LICEUL TEHNOLOGIC CONSTANTIN GEORGE CALINESCU GRADISTEA,GRĂDIŞTEA,,,
,5142100307,5141100714,3747581,92569,92578,5142100307,CĂLĂRAŞI,,,,"""CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA LICEUL TEHNOLOGIC """"DAN MATEESCU"""" CALARASI""",CENTRUL SCOLAR DE ASISTENTA PSIHOPEDAGOGICA LICEUL TEHNOLOGIC DAN MATEESCU CALARASI,CĂLĂRAŞI,,,
,5162102278,5161103573,,93085,93094,5162102278,CĂLĂRAŞI,,,,GRADINITA CU PROGRAM NORMAL NR.2 CIOCANESTI,GRADINITA CU PROGRAM NORMAL NR 2 CIOCANESTI,CIOCĂNEŞTI,,,
,5162103329,5161100507,,104341,104350,5162103329,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR.1 NICOLAE BALCESCU,GRADINITA PROGRAM NORMAL NR 1 NICOLAE BALCESCU,NICOLAE BĂLCESCU,,,
23627409,5161101042,,541743,92569,92578,5161101042,CĂLĂRAŞI,,,,GRADINITA CU PROGRAM NORMAL NR.10 CALARASI,GRADINITA CU PROGRAM NORMAL NR 10 CALARASI,CĂLĂRAŞI,"""GRIVITA"," NR.343""",
,5162100145,5161100597,,100610,100629,5162100145,CĂLĂRAŞI,,,,GRADINITA PROGRAM PRELUNGIT NR.1 OLTENITA,GRADINITA PROGRAM PRELUNGIT NR 1 OLTENITA,OLTENIŢA,,,
24079568,5161100977,,562802,101083,101092,5161100977,CĂLĂRAŞI,,,,SCOALA GIMNAZIALA NR.1 BELCIUGATELE,SCOALA GIMNAZIALA NR 1 BELCIUGATELE,BELCIUGATELE,,,
24834607,5161100127,,568179,105384,105393,5161100127,CĂLĂRAŞI,,,,"""SCOALA GIMNAZIALA """"CONSTANTIN TEODORESCU"""" SOLDANU""",SCOALA GIMNAZIALA CONSTANTIN TEODORESCU SOLDANU,ŞOLDANU,,,
,5162102242,5161103573,,93085,93094,5162102242,CĂLĂRAŞI,,,,SCOALA PRIMARA NR.1 CIOCANESTI,SCOALA PRIMARA NR 1 CIOCANESTI,CIOCĂNEŞTI,,,
,5162102622,5161103442,,94223,94250,5162102622,CĂLĂRAŞI,,,,GRADINITA PROGRAM NORMAL NR. 2 PERISORU,GRADINITA PROGRAM NORMAL NR 2 PERISORU,TUDOR VLADIMIRESCU,,,
